state,Total_0-5,Male_0-5,Female_0-5,Total_5-9,Male_5-9,Female_5-9,Total_10-14,Male_10-14,Female_10-14,Total_15-19,Male_15-19,Female_15-19,Total_20-24,Male_20-24,Female_20-24,Total_25-29,Male_25-29,Female_25-29,Total_30-34,Male_30-34,Female_30-34,Total_35-39,Male_35-39,Female_35-39,Total_40-44,Male_40-44,Female_40-44,Total_45-49,Male_45-49,Female_45-49,Total_50-54,Male_50-54,Female_50-54,Total_55-59,Male_55-59,Female_55-59,Total_60-64,Male_60-64,Female_60-64,Total_65-69,Male_65-69,Female_65-69,Total_70-74,Male_70-74,Female_70-74,Total_75-79,Male_75-79,Female_75-79,Total_80-84,Male_80-84,Female_80-84,Total_85+,Male_85+,Female_85+
Rhode Island,52718,27703,25015,58466,28914,29552,55872,28572,27300,71235,35153,36082,71178,36268,34910,73447,36059,37388,80339,41110,39229,71278,37729,33549,71652,35002,36650,60298,28920,31378,66240,32424,33816,73372,36151,37221,77491,37149,40342,73431,34444,38987,50330,23368,26962,40047,18692,21355,25180,10139,15041,23388,7702,15686
South Carolina,285830,140245,145585,314825,162379,152446,328008,167556,160452,361188,184181,177007,338310,170866,167444,328099,166194,161905,349358,166881,182477,343362,170089,173273,345541,169395,176146,307405,147789,159616,330087,160857,169230,333118,156567,176551,370330,176103,194227,331034,148976,182058,290462,138341,152121,212365,96728,115637,118298,49693,68605,85935,32174,53761
South Dakota,54886,29433,25453,61176,30573,30603,64030,35155,28875,65802,32598,33204,57907,32550,25357,56897,28326,28571,58090,30148,27942,61874,31080,30794,56381,29854,26527,50955,25904,25051,47699,24811,22888,55157,26364,28793,58878,31148,27730,55645,27825,27820,47913,23852,24061,28630,13507,15123,18179,8487,9692,19219,6607,12612
Tennessee,411032,211817,199215,428094,221396,206698,442218,225217,217001,452889,234976,217913,460289,230603,229686,481495,242785,238710,496983,246802,250181,468014,229341,238673,467361,232531,234830,421747,207954,213793,448094,219025,229069,434374,213684,220690,467303,222155,245148,407804,190589,217215,341541,157485,184056,241466,108306,133160,142756,61977,80779,113029,40352,72677
Texas,1913591,977677,935914,2066208,1049536,1016672,2205759,1133522,1072237,2198388,1127489,1070899,2089908,1077562,1012346,2141194,1084482,1056712,2239258,1132634,1106624,2204042,1123925,1080117,2147241,1086956,1060285,1897232,947439,949793,1859874,928698,931176,1651024,817346,833678,1694592,828746,865846,1402804,660047,742757,1145242,535027,610215,792763,362195,430568,466540,201972,264568,387641,137891,249750
Utah,229881,118509,111372,256131,130826,125305,273145,141887,131258,282085,142974,139111,291473,149098,142375,262174,135088,127086,244416,126898,117518,233775,119409,114366,234419,119429,114990,208506,105266,103240,175370,90104,85266,154185,76864,77321,156425,78447,77978,139755,66950,72805,114857,57216,57641,73869,34707,39162,45664,20843,24821,41604,17232,24372
Vermont,27168,13929,13239,29952,15263,14689,35665,18796,16869,42725,21221,21504,40699,22788,17911,36520,17657,18863,39653,20467,19186,41552,20344,21208,40328,20776,19552,36068,18433,17635,40669,20641,20028,41956,19957,21999,51088,25432,25656,46136,21708,24428,39674,20231,19443,26432,12367,14065,18387,7292,11095,12792,5636,7156
Virginia,476744,243107,233637,512565,261450,251115,546266,279584,266682,580019,304325,275694,562765,286523,276242,564757,285732,279025,597415,297787,299628,606153,308444,297709,601873,297375,304498,521323,257031,264292,544417,271784,272633,540862,259845,281017,561608,277220,284388,484054,224653,259401,396914,184663,212251,293416,129423,163993,177990,78141,99849,146557,55009,91548
Washington,417322,213320,204002,460067,235397,224670,480293,246228,234065,468878,244876,224002,475123,248901,226222,553933,284914,269019,624403,324348,300055,594771,305614,289157,546897,282174,264723,466808,238474,228334,466341,237523,228818,435575,217338,218237,483339,239181,244158,438907,210772,228135,363162,171566,191596,256015,117909,138106,149077,67308,81769,131969,48134,83835
West Virginia,87453,44593,42860,92813,48092,44721,106431,53483,52948,112145,58384,53761,112010,59100,52910,98811,51954,46857,107442,54005,53437,102307,52476,49831,111309,56549,54760,108208,54755,53453,114165,57166,56999,115584,57786,57798,121201,57981,63220,115806,55031,60775,109611,52483,57128,71224,33722,37502,48491,21522,26969,35060,13549,21511
Wisconsin,307874,157705,150169,347068,179416,167652,354836,181008,173828,389433,200383,189050,395528,200952,194576,364729,188222,176507,376995,191798,185197,379586,193661,185925,371818,185872,185946,333758,170751,163007,354763,180329,174434,381987,192344,189643,419185,206300,212885,378204,184685,193519,306481,150246,156235,200957,93216,107741,130416,56707,73709,117337,45813,71524
Wyoming,30651,14421,16230,36438,18482,17956,38128,19238,18890,40417,20686,19731,34570,19073,15497,36374,18449,17925,40084,19931,20153,41636,22512,19124,40462,20636,19826,30725,16814,13911,30327,15955,14372,31373,15446,15927,40775,19407,21368,37809,18661,19148,32453,16848,15605,17778,8290,9488,12420,6577,5843,11637,4309,7328
Puerto Rico,94391,48585,45806,127623,67456,60167,166130,83522,82608,191446,97962,93484,218847,111283,107564,203334,104726,98608,203132,98760,104372,188860,93480,95380,207923,97155,110768,194219,91235,102984,204793,95407,109386,212268,97711,114557,221864,100466,121398,204287,94064,110223,180088,77280,102808,165270,72904,92366,118697,48917,69780,102519,38011,64508
